tf_code,tf_name,sf_code,sf_name,distance_km
533lgw,پیتزا لوتینو,85d1x5,فست فود لوتینو (بیتا سابق هاشمیه),0.044340636
533mx9,نان تنوری ارنیکا,0lygzk,نان تنوری آرنیکا(آزادپز),0.287664496
533nz8,فلافل بیروتی جزیره ۱۶۹,12jwmy,فلافل بیروتی جزیره 169,0.158155618
533o9x,کترینگ تاج,5o962j,مطبخ تاج,0.027942504
533y6p,کافه مون کاپ MoonCup,44jqyn,کافی شاپ مون کاپ,0.062230061
53ork5,قهوه آترین,7jrlwm,قهوه آترین,0.278141948
53z3zk,فست فود دهه هشتاد شعبه هاشمیه,6dz48e,فست فود دهه هشتاد (شعبه هاشمیه),0.022173476
53zmzr,کبابی وحید,wdjev8,کبابی وحید,0.307464148
53zngg,سیب بال(ستارخان),6drgqe,فست فود سیب بال,0.00391184
53zr48,کترینگ چیلی ,klj2rj,رستوران چیلی فود,0.006473566
53zxw1,نان سنگک نامبر وان,gngvvn,سنگکی نامبروان,0.026970616
543682,رستوران شاطرعباس ,0mwlvz,شاطر عباس,0.042143729
546yn5,پیتزا فول مون,klnw5g,پیتزا فول مون,0.013277862
54713k,سوخاری کیلویی چی دا,wd485q,سوخاری کیلویی چی دا,0.003597193
54743x,کترینگ  سید رضا,32255l,رستوران کباب تابه ای سیدرضا (شعبه اصلی),0.014826378
547gzm,ساندویچ دادلی,melzlz,فست فود دادلی,0.152986676
547ng4,چلوکبابی طاق بستان,32lxye,چلو کبابی طاقبستان,0.024623561
547z4l,هایپر پروتئین شاهی ,r5o7d9,سوپر پروتئین شاهی,0.010701817
54n1o1,امتیس ,3dxlo7,کافه آمتیس,0.042202183
54n641,نانوایی سنگکی عمو یوسف,0mvn7v,سنگکی عمو یوسف (آزادپز),0.037531476
54n6w1,پروتئین سید مهدی ,dqmy1g,سوپر پروتئین سیدمهدی,0.035415443
54nmly,کافه رستوران eat,gnnn5q,کافه رستوران ایت,0.00454211
54no8l,طباخی پارس,qyl172,طباخی پارس,0.002075642
54nro9,آبمیوه بستنی سبحان,p6gn86,آبمیوه و بستنی سبحان,0.329345077
54nrwn,کافی شاپ دوچرخه,dq7djd,کافه دوچرخه,0.004692032
54nwkg,میوه فروشی شادمهر,e566lj,میوه فروشی شادمهر,0.034560914
54w3xo,کبابی شب زدگان,r5q19o,رستوران شب زدگان,0.01678074
54w9k6,ابمیوه بستنی 50,nnj968,آبمیوه بستنی کافه شاپ 50,0.04246666
54wmmp,نانوایی صفری,znkmw1,نان لواش صفری,0.047807433
54wn6w,جگرکی عمورحیم,klnydq,جگرکی عمو رحیم,0.003552367
54wo48,ویتامینه سندباد (شعبه یوسف آباد),pvyqd5,آبمیوه بستنی سندباد (شعبه یوسف آباد),0.008086215
54wypx,پروتئین وی آی پی,122xok,پروتئین وال مارکت (بلوار استقلال مشهد),0.471420072
